Slice,Mean
1280,535.087
1281,492.591
1282,477.952
1283,486.332
1284,455.966
1285,516.005
1286,571.865
1287,494.538
1288,477.014
1289,452.856
1290,426.769
1291,505.841
1292,517.341
1293,486.053
1294,476.13
1295,449.76
1296,438.875
1297,439.212
1298,474.212
1299,480.63
1300,466.841
1301,433.639
1302,426.572
1303,423.375
1304,452.918
1305,491.971
1306,513.058
1307,464.928
1308,461.139
1309,469.668
1310,416.25
1311,435.264
1312,500.341
1313,478.553
1314,485.438
1315,442.99
1316,452.37
1317,490.678
1318,526.673
1319,482.572
1320,497.38
1321,452.62
1322,411.101
1323,460.298
1324,503.01
1325,527.442
1326,487.231
1327,432.308
1328,434.673
1329,439.029
1330,475.413
1331,483.957
1332,494.125
1333,489.029
1334,477.625
1335,449.88
1336,463.909
1337,456.202
1338,502
1339,493.87
1340,484.663
1341,458.308
1342,439.221
1343,423.952
1344,451.462
1345,489.447
1346,491.38
1347,453.452
1348,441.635
1349,439.236
1350,460.606
1351,451.683
1352,514.49
1353,507.558
1354,470.038
1355,483.62
1356,444.755
1357,459.803
1358,512.827
1359,535.053
1360,520.284
1361,519.981
1362,473.115
1363,449.048
1364,472.279
1365,487.76
1366,531.337
1367,504.88
1368,505.51
1369,467.442
1370,484.548
1371,459.582
1372,508.149
1373,533.639
1374,496.875
1375,489.077
1376,464.678
1377,455.548
1378,476.625
1379,516.947
1380,565.423
1381,495.216
1382,473.567
1383,451.125
1384,488.74
1385,455.202
1386,505.784
1387,493.168
1388,479.519
1389,495.663
1390,446.231
1391,415.236
1392,501.274
1393,563.784
1394,518.385
1395,547.947
1396,490.096
1397,463.298
1398,414.76
1399,430.245
1400,518.942
1401,480.62
1402,488.438
1403,444.649
1404,423.173
1405,459.072
1406,416.745
1407,494.957
1408,469.317
1409,494.736
1410,442.846
1411,454.889
1412,441.745
1413,522.38
1414,471.788
1415,516.077
1416,490.091
1417,493.361
1418,424.793
1419,450.851
1420,449.683
1421,481.274
1422,495.543
1423,484.587
1424,451.202
1425,434.649
1426,457.438
1427,438.582
1428,485.442
1429,510.981
1430,529.188
1431,450.88
1432,492.899
1433,423.894
1434,439.077
1435,484.986
1436,520.048
1437,460.413
1438,481.986
1439,482.822
1440,436.635
1441,513.163
1442,522.279
1443,529.312
1444,497.365
1445,495.726
1446,504.029
1447,465.683
1448,497.053
1449,556.644
1450,504.202
1451,490.341
1452,474.212
1453,453.88
1454,454.404
1455,473.226
1456,551.207
1457,480.745
1458,490.865
1459,490.745
1460,472.322
1461,484.048
1462,535.976
1463,533.048
1464,485.716
1465,491.788
1466,483.178
1467,485.899
1468,470.803
1469,531.913
1470,479.438
1471,525.856
1472,478.788
1473,436.995
1474,439.125
1475,499.774
1476,549.01
1477,522.207
1478,477.846
1479,463.317
1480,431.159
1481,466.144
1482,459.649
1483,506.332
1484,454.216
1485,465.24
1486,478.322
1487,413.99
1488,396.635
1489,474.149
1490,480.986
1491,465.284
1492,437.24
1493,446.87
1494,404.562
1495,427.832
1496,411.875
1497,409.139
1498,416.428
1499,391.923
1500,454.817
1501,473.106
1502,482.745
1503,503.577
1504,442.428
1505,430.841
1506,419.957
1507,496.269
1508,493.788
1509,473.952
1510,473.481
1511,399.995
1512,414.077
1513,433.038
1514,507.312
1515,474.024
1516,452
1517,444.245
1518,452.413
1519,417.12
1520,495.534
1521,511.986
1522,481.351
1523,466.298
1524,455.87
1525,441.375
1526,415.058
1527,464.197
1528,499.788
1529,500.135
1530,464.611
1531,465.755
1532,470.356
1533,498.284
1534,548.264
1535,510.173
1536,517.543
1537,473.803
1538,461.534
1539,459.159
1540,516.433
1541,512.279
1542,519.928
1543,486.005
1544,484.197
1545,482.558
1546,521.736
1547,540.188
1548,485.909
1549,470.745
1550,461.707
1551,474.279
1552,399.346
1553,481.216
1554,463.635
1555,528.038
1556,501.644
1557,429.385
1558,443.548
1559,456.351
1560,468.779
1561,507.74
